y	yend	x	xend	key	showSelected1	PANEL
5.81815244250876	8.32676913818879	3	3	9	McGill0002	1
8.32676913818879	8.35934322832471	2	2	8	McGill0002	1
8.35934322832471	8.85301763566558	2	2	6	McGill0002	1
8.85301763566558	9.11628462011672	1	1	5	McGill0002	1
9.11628462011672	10.765245529241	1	1	4	McGill0002	1
10.765245529241	12.2785516149955	0	0	2	McGill0002	1
12.2785516149955	12.8815570480393	1	1	1	McGill0002	1
12.8815570480393	13.8815570480393	3	3	0	McGill0002	1
5.81815244250876	7.48004849724583	1	1	9	McGill0091	1
7.48004849724583	7.92794380660996	1	1	8	McGill0091	1
7.92794380660996	8.21483916922859	0	0	7	McGill0091	1
8.21483916922859	8.3185305639025	0	0	6	McGill0091	1
8.3185305639025	8.35822969013013	0	0	5	McGill0091	1
8.35822969013013	9.11967607341862	0	0	2	McGill0091	1
9.11967607341862	11.5240324144373	0	0	1	McGill0091	1
11.5240324144373	13.8815570480393	1	1	0	McGill0091	1
5.81815244250876	6.88484664341119	3	3	9	McGill0322	1
6.88484664341119	7.05141457080121	3	3	8	McGill0322	1
7.05141457080121	7.16821207110614	2	2	7	McGill0322	1
7.16821207110614	7.18118593350995	3	3	6	McGill0322	1
7.18118593350995	7.24470631048094	2	2	5	McGill0322	1
7.24470631048094	7.46524561120404	1	1	4	McGill0322	1
7.46524561120404	7.68716132594694	0	0	2	McGill0322	1
7.68716132594694	10.8020398979861	0	0	1	McGill0322	1
10.8020398979861	13.8815570480393	1	1	0	McGill0322	1
5.81815244250876	6.81815244250876	2	2	9	McGill0004	1
6.81815244250876	6.88542715102899	2	2	8	McGill0004	1
6.88542715102899	7.00164754011628	2	2	7	McGill0004	1
7.00164754011628	7.20171988877584	2	2	6	McGill0004	1
7.20171988877584	7.20751927237447	1	1	5	McGill0004	1
7.20751927237447	8.1838554295841	1	1	4	McGill0004	1
8.1838554295841	8.27461530859456	1	1	3	McGill0004	1
8.27461530859456	9.77739123516269	0	0	2	McGill0004	1
9.77739123516269	9.8153097264266	2	2	1	McGill0004	1
9.8153097264266	13.8815570480393	3	3	0	McGill0004	1
