linetype	xmin	xmax	key	showSelected1	showSelected2	showSelected3	PANEL
0	118101.452	118118.472	McGill0091 118101452	McGill0091	9	correct	2
0	118121.649	118124.175	McGill0091 118121649	McGill0091	9	correct	2
0	118092.641	118095.026	McGill0322 118092641	McGill0322	0	correct	3
0	118095.334	118096.64	McGill0322 118095334	McGill0322	0	correct	3
0	118101.452	118118.472	McGill0322 118101452	McGill0322	0	correct	3
3	118121.649	118124.175	McGill0322 118121649	McGill0322	0	false negative	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	1	correct	3
0	118095.334	118096.64	McGill0322 118095334	McGill0322	1	correct	3
0	118101.452	118118.472	McGill0322 118101452	McGill0322	1	correct	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	1	correct	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	2	correct	3
0	118095.334	118096.64	McGill0322 118095334	McGill0322	2	correct	3
0	118101.452	118118.472	McGill0322 118101452	McGill0322	2	correct	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	2	correct	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	3	correct	3
0	118095.334	118096.64	McGill0322 118095334	McGill0322	3	correct	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	3	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	3	correct	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	4	correct	3
0	118095.334	118096.64	McGill0322 118095334	McGill0322	4	correct	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	4	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	4	correct	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	5	correct	3
1	118095.334	118096.64	McGill0322 118095334	McGill0322	5	false positive	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	5	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	5	correct	3
1	118092.641	118095.026	McGill0322 118092641	McGill0322	6	false positive	3
1	118095.334	118096.64	McGill0322 118095334	McGill0322	6	false positive	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	6	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	6	correct	3
0	118092.641	118095.026	McGill0322 118092641	McGill0322	7	correct	3
1	118095.334	118096.64	McGill0322 118095334	McGill0322	7	false positive	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	7	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	7	correct	3
1	118092.641	118095.026	McGill0322 118092641	McGill0322	8	false positive	3
1	118095.334	118096.64	McGill0322 118095334	McGill0322	8	false positive	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	8	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	8	correct	3
1	118092.641	118095.026	McGill0322 118092641	McGill0322	9	false positive	3
1	118095.334	118096.64	McGill0322 118095334	McGill0322	9	false positive	3
1	118101.452	118118.472	McGill0322 118101452	McGill0322	9	false positive	3
0	118121.649	118124.175	McGill0322 118121649	McGill0322	9	correct	3
3	118092.641	118095.026	McGill0004 118092641	McGill0004	0	false negative	4
3	118095.334	118096.64	McGill0004 118095334	McGill0004	0	false negative	4
0	118101.452	118118.472	McGill0004 118101452	McGill0004	0	correct	4
3	118121.649	118124.175	McGill0004 118121649	McGill0004	0	false negative	4
3	118092.641	118095.026	McGill0004 118092641	McGill0004	1	false negative	4
3	118095.334	118096.64	McGill0004 118095334	McGill0004	1	false negative	4
0	118101.452	118118.472	McGill0004 118101452	McGill0004	1	correct	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	1	correct	4
0	118092.641	118095.026	McGill0004 118092641	McGill0004	2	correct	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	2	correct	4
0	118101.452	118118.472	McGill0004 118101452	McGill0004	2	correct	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	2	correct	4
0	118092.641	118095.026	McGill0004 118092641	McGill0004	3	correct	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	3	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	3	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	3	correct	4
0	118092.641	118095.026	McGill0004 118092641	McGill0004	4	correct	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	4	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	4	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	4	correct	4
0	118092.641	118095.026	McGill0004 118092641	McGill0004	5	correct	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	5	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	5	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	5	correct	4
1	118092.641	118095.026	McGill0004 118092641	McGill0004	6	false positive	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	6	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	6	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	6	correct	4
1	118092.641	118095.026	McGill0004 118092641	McGill0004	7	false positive	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	7	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	7	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	7	correct	4
1	118092.641	118095.026	McGill0004 118092641	McGill0004	8	false positive	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	8	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	8	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	8	correct	4
1	118092.641	118095.026	McGill0004 118092641	McGill0004	9	false positive	4
0	118095.334	118096.64	McGill0004 118095334	McGill0004	9	correct	4
1	118101.452	118118.472	McGill0004 118101452	McGill0004	9	false positive	4
0	118121.649	118124.175	McGill0004 118121649	McGill0004	9	correct	4
